SUBJECT_ID,ORIGINAL_FILE,TRIPLET_SET,TEMPLATE_ID,SIGHTING_ID,DET_FACE_X,DET_FACE_Y,DET_FACE_WIDTH,DET_FACE_HEIGHT,QUALITY
30,img/3012.jpg,REF,30646,4159,2736,497,416,529,99.982345
30,img/3884.jpg,PROBE,30656,7994,894,405,115,146,99.972844
30,img/43395.jpg,PROBE,30672,32692,1006,214,214,275,99.959397
30,img/2328.jpg,PROBE,30639,1718,795,331,143,160,99.956298
30,img/78882.jpg,PROBE,30685,38237,1253,362,428,527,99.948657
30,img/78591.jpg,REF,30680,38103,848,303,182,209,99.941671
30,img/4116.jpg,PROBE,30655,7983,988,323,147,182,99.934214
30,img/2546.jpg,PROBE,30671,11246,517,309,966,1106,99.925613
30,img/1431.jpg,PROBE,30636,1547,1077,342,508,632,99.90828
30,img/69194.jpg,PROBE,30678,36469,1374,1003,269,320,99.907196
30,img/1551.jpg,PROBE,30641,2284,999,263,159,201,99.884695
30,img/78649.jpg,PROBE,30683,38156,985,230,254,303,99.819529
30,img/2782.jpg,PROBE,30662,8581,961,185,134,165,99.763751
30,img/771.jpg,PROBE,30658,8331,1538,325,234,232,99.738884
